at_id,name,degree
56951292600,Rujitharanawong,NA
7003678340,Tuchinda,NA
26024040600,Chularojanamontri,NA
57222057596,Pochanapan,NA
55368152200,Nuttawong,NA
6601959811,Thongprasom,NA
6603678597,Kulthanan,NA
57705073700,Pakkaporn Rungruengkultorn,NA
6507327388,Somjai Boonsiri,NA
55633468000,Chonchanok Muangnapoh,NA
57223007346,Eakapong Tamboon,NA
57222027981,Neunghatai Supha,NA
57773958900,Jirachaya Toyting,NA
57773855000,Atchara Chitrak,NA
6507529897,Nakarin Kitkumthorn,NA
9236588700,Peeraya Ekchariyawat,NA
7402683497,Tetsuya Iida,NA
6701340035,Orasa Suthienkul,NA
57195292360,Narut Prasitlumkum,NA
57202543782,Ronpichai Chokesuwattanaskul,NA
47160959700,Wisit Cheungpasitporn,NA
57273145300,Danaithep Limskul,NA
57192910609,Jirun Apinun,NA
13609375600,Thanasil Huanmanop,NA
6603284857,Somsak Kuptniratsaikul,NA
57934753500,Wichanan Wannasrichan,NA
57208029794,Htut Htut Htoo,NA
57934599500,Rubsadej Suwansaeng,NA
6603125300,Joe Pogliano,NA
55225993200,Poochit Nonejuie,NA
36162975600,Vorrapon Chaikeeratisak,NA
57194381799,Sirimon Treepongkaruna,NA
24923397800,Khine Kyaw,NA
21734757200,Pornsit Jiraporn,NA
37110653900,Jirayu Buatong,NA
36811675700,Vit Dvorak,NA
56912320200,Arunrat Thepparat,NA
57219960654,Kanaphot Thongkhao,NA
9242606100,Surachart Koyadun,NA
57221246839,Padet Siriyasatien,NA
35088818300,Theerakamol Pengsakul,NA
57918820400,Eduardo Cassina,NA
57918419200,Liva Dudareva,NA
35405352400,Joseph J. Y. Sung,NA
7401986639,Han-Mo Chiu,NA
25954504100,David Lieberman,NA
57216305854,Ernst J. Kuipers,NA
7201521723,Matthew D. Rutter,NA
57201786791,Finlay MacRae,NA
7004891021,Khay-Guan Yeoh,NA
8604912300,Tiing Leong Ang,NA
54790563600,Vui Heng Chong,NA
57210955995,Sneha John,NA
26663999000,Jingnan Li,NA
8947728400,Kaichun Wu,NA
55504225800,Simon S. M. Ng,NA
58375470800,Govind K. Makharia,NA
7103393434,Murdani Abdullah,NA
36048368100,Nozomu Kobayashi,NA
39262569900,Masau Sekiguchi,NA
7004081013,Jeong-Sik Byeon,NA
55739553100,Hyun-Soo Kim,NA
7101887459,Susan Parry,NA
57216891892,Patricia Anne I. Cabral-Prodigalidad,NA
57154894800,Deng-Chyang Wu,NA
35220247100,Suparkij Khomvilai,NA
55750738600,Rashid N. Lui,NA
55451145400,Sunny Wong,NA
56440342200,Yu-Min Lin,NA
7006195581,Dekker,NA
57970860100,Jesada Is-Haa,NA
6506839035,Supavadee Koydon,NA
57971883700,Yawwapanee Iampichai,NA
15739640000,Chansawang Ngamphongsai,NA
57362869600,Napat Damrongsirirat,NA
57079198300,Boosana Kaboosaya,NA
57218998096,Kiti Siriwatana,NA
24545024400,Keskanya Subbalekha,NA
56253979900,Pornchai Jansisyanont,NA
6507236098,Atiphan Pimkhaokham,NA
56167805200,Smith Boonchutima,NA
57813057500,Ruiqi Lou,NA
57297624200,Gareth H. Thomas,NA
7006156507,Evan J. Douglas,NA
57193631747,Nipaporn Akkarakittichoke,BSc
6507942464,Prawit Janwantanakul,PhD
8528883600,Rotsalai Kanlayanaphotporn,PhD
7401786989,Mark P. Jensen,PhD
57224525717,Zijun Zhou,NA
6506322464,Sigrid M.A. Swagemakers,NA
57614811600,Mirthe S. Lourens,NA
55888202400,Narissara Suratannon,NA
58112296000,Peter J. Van Der Spek,NA
6505791674,Virgil A.S.H. Dalm,NA
6603280038,Willem A. Dik,NA
26321094900,Hanna Ijspeert,NA
57219371675,P. Martin Van Hagen,NA
22635611000,Janaina S. Santos,NA
57368070600,Mohammad Fereidooni,NA
57218514042,Victor Marquez,NA
57210428081,Malathi Arumugam,NA
56308983900,Muhammad Tahir,NA
57220081891,Supareak Praserthdam,NA
7005158568,Piyasan Praserthdam,NA
13406410600,Chatthai Kaewtong,NA
26868303200,Suchana Wanich,NA
6507277137,Banchob Wanno,NA
7004426385,Thawatchai Tuntulani,NA
6602501592,Buncha Pulpoka,NA
56801845200,Thasanporn Sangsukiam,NA
24280476200,Kiattisak Duangmal,NA
57949368000,Yuming Liu,NA
57194977414,Wipaporn Natalie Songtaweesin,NA
57202976723,Joesph D Tucker,NA
57949483800,Annette H Sohn,NA
7006006751,Carl A Latkin,NA
57218302519,Brian J Hall,NA
57039125100,Stapana Kongsen,NA
23482804400,Sumet Phantuwongraj,NA
23481322900,Montri Choowong,NA
55246009800,Sakonvan Chawchai,NA
57221528987,Sirawat Udomsak,NA
57655956300,Chanista Chansom,NA
57658193500,Chanakan Ketthong,NA
55774373700,Peerasit Surakiatchai,NA
56117386300,Johannes M. Miocic,NA
6603082378,Frank Preusser,NA
57192887946,Wirach Chitsuthipakorn,MD
57219347819,Minh P. Hoang,"MD, MSc"
