city_id,city,country,citation_sum,p_count,lat,lon,population,gdp_per_capita,time_zone,safety_index
3007,Samut Songkram,Thailand,5,1,13.3576862,99.9619685,,,,
3008,Dire Dawa,Ethiopia,32,2,9.5912196,41.9797191,,,,
3009,Zeist,Netherlands,17,1,52.0892832,5.2276307,,,,
3010,Santa Cruz de la Sierra,Bolivia,17,1,-17.7834217,-63.1820853,,,,
3011,Kisumu,Kenya,17,1,-0.1029109,34.7541761,,,,
3012,Sibu,Malaysia,17,1,2.2996601,111.87100115531784,,,,
3013,Tacuarembo,Uruguay,17,1,-32.166667,-55.5,,,,
3014,Mihintale,Sri Lanka,17,1,8.347538,80.5126963,,,,
3015,Chía,Colombia,17,1,4.8660334,-74.0306281,,,,
3016,Kadhava,India,17,1,21.541413650000003,76.9672381674201,,,,
3017,Popoyán,Colombia,17,1,4.099917,-72.9088133,,,,
3018,Goroka,Papua New Guinea,2,1,-6.0730028,145.3932891,,,,
3019,Elmhurst,United States,0,1,41.8994745,-87.9403418,,,,
3020,Bangpa-In Ayutthaya,Thailand,0,1,14.1972659,100.5872980162481,,,,
3021,Ramadi,Iraq,32,2,33.4259859,43.2999218,,,,
3022,Vandoeouvre-les-Nancy,France,38,2,46.603354,1.8883335,,,,
3023,Dong Nai Province,Viet Nam,1,1,11.0355624,107.1881076,,,,
3024,The Woodlands,United States,47,2,30.1734194,-95.504686,,,,
3025,Matamoros,Mexico,45,1,25.8810158,-97.5064866,,,,
3026,Siem Reap,Cambodia,181,2,13.3617562,103.8590321,,,,
3027,Semey,Kazakhstan,20,1,50.406737750000005,80.25028238526095,,,,
3028,"Valenzuela, Metro Manila",Philippines,170,1,14.6916903,120.9694534,,,,
3029,Fuyang,China,170,1,32.8926763,115.8090001,,,,
3030,Gyeongju,South Korea,187,2,35.8556705,129.2248811,,,,
3031,Gdynia,Poland,11,1,54.52333035,18.604027892041863,,,,
3032,Toyoshina,Japan,8,1,36.300236,137.900805,,,,
3033,Montgomery,United States,3,1,32.37742,-86.3091683,,,,
3034,Levanger,Norway,44,1,63.696451800000006,11.223880440465752,,,,
3035,Coopers Plains,Australia,233,1,-27.566855,153.03672119194317,,,,
3036,Purmerend,Netherlands,1356,1,52.5024789,4.9614827,,,,
3037,Pula,Croatia,1356,1,44.8702281,13.8455311,,,,
3038,Namur,Belgium,1356,1,50.4665284,4.8661892,,,,
3039,San Salvador,El Salvador,1502,2,13.6989939,-89.1914249,,,,
3040,Bushehr,Iran,1356,1,28.8936645,51.3204877,,,,
3041,Al Bayda,Libya,1356,1,32.7609529,21.7577175,,,,
3042,Ridderkerk,Netherlands,1356,1,51.8714812,4.5999778,,,,
3043,VIC,Australia,1356,1,-36.5986096,144.6780052,,,,
3044,Moshi,Tanzania,1502,2,-3.3486456,37.3435249,,,,
3045,Halabja,Iraq,27,1,35.1792062,45.9873683,,,,
3046,Nablus,Palestine,30,2,32.2280665,35.2370416,,,,
3047,Santa Marta,Colombia,61,1,11.2320944,-74.1950916,,,,
3048,Wicklow,Ireland,68,2,52.9802376,-6.0414184,,,,
3049,Cherbourg-Octeville,France,69,3,49.6343543,-1.6285770868661509,,,,
3050,Kenmore,United States,68,2,47.7596715,-122.2496367,,,,
3051,Plainsboro,United States,68,2,40.3334409,-74.6004341,,,,
3052,Kyrenia,Cyprus,68,2,35.3396291,33.3205287,,,,
3053,Gorinchem,Netherlands,68,2,51.8296133,4.9738743,,,,
3054,Chieveley,United Kingdom,61,1,51.46273,-1.3172583,,,,
3055,Poulsbo,United States,68,2,47.7391366,-122.63928,,,,
3056,Carolina,United States,68,2,35.90503535,-79.04775326525107,,,,
3057,Bondy,France,68,2,48.9031,2.48291,,,,
3058,Jongno-gu,South Korea,17,1,37.5806949,126.9827989,,,,
3059,Baoji,China,76,2,34.3609713,107.2322378,,,,
3060,Khannayao,Thailand,18,1,14.8971921,100.83273,,,,
3061,Observatory,South Africa,26,2,-33.9369444,18.4683333,,,,
3062,Port Harcourt,Nigeria,158,2,4.7676576,7.0188527,,,,
3063,Sandton,South Africa,30,1,-26.1045525,28.0545147,,,,
3064,Chernogolovka,Russian Federation,616,1,56.0061165,38.3835224,,,,
3065,Feusiberg,Switzerland,616,1,46.7985624,8.2319736,,,,
3066,Pakkret,Thailand,1,1,13.91533,100.4946496,,,,
3067,Yenchao,Taiwan,25,2,23.5983227,120.83537694479216,,,,
3068,Chumporn,Thailand,0,1,8.582745150000001,98.24705370483797,,,,
3069,Nakorn Ratchasima,Thailand,95,3,14.884424500000002,101.90462924870856,,,,
3070,Toyota,Japan,3,2,35.0834524,137.156737,,,,
3071,Boone,United States,37,1,42.321246,-88.8235511,,,,
3072,Shantou,China,20,1,23.3563921,116.6775856,,,,
3073,Vevey,Switzerland,3,1,46.4602978,6.8418655,,,,
3074,Muntinlupa,Philippines,3,1,14.3892634,121.0449101,,,,
3075,Cergy-Pontoise,France,11,1,49.0527528,2.0388736,,,,
3076,Drammen,Norway,17,1,59.6964936,10.175641950012762,,,,
3077,Kongsberg,Norway,85,4,59.59455005,9.670860075643745,,,,
3078,Armilla,Spain,5,1,37.1431197,-3.6277259,,,,
3079,Amer,Spain,19,1,42.0092186,2.6030327,,,,
3080,Neuss,Germany,18,1,51.1981778,6.6916476,,,,
3081,Socorro,United States,84,4,34.0572858,-106.8930799,,,,
3082,Nesher,Israel,367,1,32.7708797,35.0381249,,,,
3083,Petchburi,Thailand,2,1,13.7486857,100.56313713834464,,,,
3084,Africa,Eritrea,5,1,15.31566175,38.926948721064335,,,,
3085,Narahenpita,Sri Lanka,0,1,6.90572655,79.88212971909357,,,,
3086,Morioka,Japan,14,3,39.7021331,141.1545397,,,,
3087,Conwy,United Kingdom,9,1,53.1460931,-3.759920155777771,,,,
3088,Chung-Li,China,36,1,27.8717021,99.8365499,,,,
3089,Kavali,India,47,1,14.9135846,79.9926902,,,,
3090,Nagaram,India,47,1,17.4891828,78.6017275,,,,
3091,Hyderabad-Telangana,India,47,1,17.360589,78.4740613,,,,
3092,Krishna,India,47,1,16.21277,81.03069575082347,,,,
3093,Kon Kaen,Thailand,67,2,16.0253579,103.6067755,,,,
3094,Mahasarakarm,Thailand,44,1,14.8971921,100.83273,,,,
3095,Maisons-Alfort,France,13,2,48.8012045,2.4309703,,,,
3096,Sandy Bay,Australia,5,1,-42.897129,147.3273528,,,,
3097,Trissur,India,3,1,10.41305481098446,76.17868961921563,,,,
