af_id,name,organization,country,city
60199575,Mahidol University,"Department of Dermatology, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand,Bangkok
60028190,Chulalongkorn University,"Department of Oral Medicine, Faculty of Dentistry, Chulalongkorn University",Thailand,Bangkok
60012718,Mahidol University,"Department of Microbiology, Faculty of Public Health, Mahidol University",Thailand,Bangkok
60091468,Mahidol University,"Department of Oral Biology, Faculty of Dentistry, Mahidol University",Thailand,Bangkok
60025814,Osaka University,"Department of Bacterial Infections, Research Institute for Microbial Diseases, Osaka University",Japan,Suita
60029526,University of California Riverside,"Division of Cardiology, University of California Riverside",United States,Riverside
60002620,Thai Red Cross Society,"Division of Cardiovascular Medicine, Department of Medicine, Faculty of Medicine, Chulalongkorn University and King Chulalongkorn Memorial Hospital, Thai Red Cross Society",Thailand,Bangkok
60005558,Mayo Clinic,"Department of Internal Medicine, Mayo Clinic",United States,Rochester
60022183,The Thai Red Cross Society,"Department of Orthopaedics, Faculty of Medicine, Chulalongkorn University and King Chulalongkorn Memorial Hospital, The Thai Red Cross Society",Thailand,Bangkok
60009499,Mahidol University,"Institute of Molecular Biosciences, Mahidol University",Thailand,Nakhon Pathom
60121501,University of California,"Division of Biological Sciences, University of California",United States,San Diego
60138776,The University of Western Australia,"Sasin School of Management, Chulalongkorn University, Bangkok, Thailand, UWA Business School, The University of Western Australia",Australia,Perth
60242136,Norwegian University of Science and Technology,"NTNU Business School, Norwegian University of Science and Technology",Norway,Trondheim
60001439,Pennsylvania State University,"Great Valley School of Graduate Professional Studies, Pennsylvania State University",United States,NA
60006314,Prince of Songkla University,"Faculty of Medical Technology, Prince of Songkla University",Thailand,Songkhla
60016605,Charles University,"Department of Parasitology, Faculty of Science, Charles University",Czech Republic,Prague
60022676,Ramkhamhaeng University,"Department of Agricultural Technology, Faculty of Science, Ramkhamhaeng University",Thailand,Bangkok
127728050,Office of Disease Prevention and Control,Office of Disease Prevention and Control,Thailand,Nakhon Si Thammarat
60027272,Edinburgh College of Art,Edinburgh College of Art,United Kingdom,NA
60118633,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Singapore,Singapore
60073385,National Taiwan University Hospital,"Department of Internal Medicine, National Taiwan University Hospital",Taiwan,Taipei
60016733,Oregon Health and Science University,Oregon Health and Science University,United States,Portland
60032114,Erasmus Mc,Erasmus Mc,Netherlands,Rotterdam
60005689,University Hospital of North Tees,University Hospital of North Tees,United Kingdom,Stockton-on-Tees
60005245,The Royal Melbourne Hospital,The Royal Melbourne Hospital,Australia,Melbourne
60017161,National University of Singapore,National University of Singapore,Singapore,Singapore
60078609,SingHealth Group,"Changi General Hospital, SingHealth Group",Singapore,Singapore
60072092,Raja Isteri Pengiran Anak Saleha Hospital Brunei,Raja Isteri Pengiran Anak Saleha Hospital Brunei,Brunei Darussalam,NA
60190625,Gold Coast University Hospital,"Digestive Health, Endoscopy, Gold Coast University Hospital",Australia,Southport
60008706,Peking Union Medical College Hospital,Peking Union Medical College Hospital,China,Beijing
60088187,Fourth Military Medical University,Fourth Military Medical University,China,Xi'an
60002798,The Chinese University of Hong Kong,The Chinese University of Hong Kong,Hong Kong,Hong Kong
60009790,All India Institute of Medical Sciences,All India Institute of Medical Sciences,India,Delhi
60069378,Hospital Dr Cipto Mangunkusumo,"Division of Gastroenterology, Pancreatibiliar and Digestive Endoscopy, Department of Internal Medicine, Hospital Dr Cipto Mangunkusumo",Indonesia,Jakarta
60069377,Universitas Indonesia,"Human Cancer Research Center, Imeri, Faculty of Medicine, Universitas Indonesia",Indonesia,Jakarta
60018424,National Cancer Center Hospital,"Cancer Screening Center/ Endoscopy Division, National Cancer Center Hospital",Japan,Tokyo
60022755,National Cancer Center Institute for Cancer Control,"Division of Screening Technology, National Cancer Center Institute for Cancer Control",Japan,Tokyo
60006240,University of Ulsan College of Medicine,University of Ulsan College of Medicine,South Korea,Seoul
60016912,Yonsei University,Yonsei University,South Korea,Seoul
100326853,New Zealand Ministry of Health,"National Bowel Screening Programme, New Zealand Ministry of Health",New Zealand,Auckland
60005686,The University of Auckland,The University of Auckland,New Zealand,Auckland
107928056,St Luke Hospital,St Luke Hospital,Philippines,Quezon City
60012256,Kaohsiung Medical University,Kaohsiung Medical University,Taiwan,Kaohsiung
60024787,Chinese University of Hong Kong,"Division of Gastroenterology and Hepatology, Department of Medicine and Therapeutics, Prince of Wales Hospital, Chinese University of Hong Kong",Hong Kong,Hong Kong
60019840,Shin Kong Wu Ho Su Memorial Hospital,Shin Kong Wu Ho Su Memorial Hospital,Taiwan,Taipei
60001157,University of Amsterdam,"Amsterdam University Medical Centers, University of Amsterdam",Netherlands,Amsterdam
100857944,Rajamangala University of Technology,"Department of Fisheries Science, Faculty of Agricultural Technology and Agro-Industry, Rajamangala University of Technology",Thailand,Ayuthaya
60011947,Thailand Science Park,"National Center for Genetic Engineering and Biotechnology, National Science and Technology Development Agency, Thailand Science Park",Thailand,Pathum Thani
60189592,Queensland University of Technology,"Australian Centre for Entrepreneurship Research, Queensland University of Technology",Australia,Brisbane
101481793,Faculty of Graduate School,"Inter-Department Program of Biomedical Sciences, Faculty of Graduate School",Thailand,Bangkok
60015481,University of Washington,"Department of Rehabilitation Medicine, University of Washington",United States,Seattle
60008665,UAE University,"Chemical and Petroleum Engineering Department, UAE University",United Arab Emirates,Al Ain
